Institutional Execution Ledger — Daily PnL &,,,,,,,,
Running Equity,,,,,,,,
,,,,,,Slippage,,
Date,Asset,Side,Size,Intended,Actual,,Strategy,P/L ($)
,,,,,,(pips/pts),,
10.13,GBPCAD,Buy,0.5,1.86861,1.86869,0.8,Scalp,1.07
10.13,EURCAD,Buy,0.5,1.62578,1.62595,1.7,Mean Rev,-44.99
10.13,EURCAD,Buy,0.5,1.62544,1.6255,0.6,Scalp,0.36
10.13,EURCAD,Buy,0.2,1.62539,1.6255,1.1,Aggregation,-11.57
10.13,USDCAD,Buy,0.9,1.39989,1.39995,0.6,Trend,41.77
10.13,GBPNZD,Buy,0.4,2.32704,2.32735,3.1,Cross-Vol,-41.05
10.13,GBPNZD,Buy,0.2,2.32604,2.32626,2.2,Cross-Vol,-8.03
10.13,GBPNZD,Buy,0.1,2.32541,2.3255,0.9,Cross-Vol,0.34
10.15,AUDJPY,Buy,0.1,98.588,98.6,1.2,Carry,2.97
10.23,GBPCAD,Buy,0.5,1.86794,1.86812,1.8,Mean Rev,-40.01
10.23,GBPCAD,Buy,0.5,1.86751,1.86759,0.8,Scalp,15.01
10.24,GBPNZD,Buy,0.1,2.31851,2.31863,1.2,Momentum,1.32
10.24,EURNZD,Buy,0.01,2.02213,2.02218,0.5,Micro-Test,0.52
10.24,EURNZD,Buy,0.2,2.02206,2.02223,1.7,Momentum,9.53
10.24,EURNZD,Buy,0.1,2.02162,2.02177,1.5,Momentum,7.41
10.27,NZDUSD,Buy,1.3,0.57625,0.57629,0.4,Trend,11.7
10.29,AUDCAD,Buy,0.7,0.91974,0.91985,1.1,Mean Rev,39.16
10.3,USDCHF,Buy,0.7,0.79846,0.79849,0.3,Risk-Off,-22.80
10.3,USDCHF,Buy,0.7,0.79787,0.7979,0.3,Scalp,7.89
10.3,CADCHF,Buy,1,0.57329,0.57344,1.5,Divergence,-59.84
10.3,CADCHF,Buy,2,0.57316,0.57338,2.2,Divergence,-94.75
10.3,AUDCAD,Buy,0.5,0.91612,0.91617,0.5,Scalp,0.36
10.31,GBPJPY,Buy,0.5,202.628,202.66,3.2,Volatility,-110.68
10.31,GBPJPY,Buy,0.5,202.576,202.6,2.4,Volatility,-85.03
10.31,GBPJPY,Buy,0.5,202.464,202.486,2.2,Volatility,-51.60
10.31,GBPJPY,Buy,1,202.371,202.398,2.7,Volatility,-35.70
10.31,GBPJPY,Buy,1,202.433,202.457,2.4,Trend,-43.49
11.03,USDJPY,Buy,0.5,154.157,154.165,0.8,Scalp,-2.92
11.03,GBPJPY,Buy,0.2,202.486,202.504,1.8,Momentum,-10.37
11.03,GBPJPY,Buy,0.2,202.486,202.504,1.8,Momentum,-10.37
11.03,GBPJPY,Buy,0.2,202.392,202.405,1.3,Scalp,1.94
11.05,XAGUSD,Buy,0.5,47.962,47.984,2.2,Metals,0
11.05,XAUUSD,Buy,0.1,3977.8,3978.92,11.2,Metals,-149.20
11.05,XAUUSD,Buy,0.1,3973.1,3973.72,6.2,Metals,14.1
11.05,XAUUSD,Buy,0.1,3979.85,3980.03,1.8,Metals,53.1
11.06,GBPNZD,Buy,0.5,2.30409,2.30451,4.2,Asia-Sess,90.84
11.06,GBPAUD,Buy,0.5,2.00795,2.00821,2.6,Trend,127.22
11.07,USDCAD,Buy,3,1.41231,1.41241,1,Heavy-Scalp,-63.73
11.07,GBPCHF,Buy,1,1.05959,1.05977,1.8,Mean Rev,-121.29
11.07,GBPJPY,Buy,0.2,201.348,201.363,1.5,Scalp,-4.56
